unit,category,label,score,object-label,object-truth,object-activation,object-intersect,object-iou
484,object,sea,0.0201150570346,sea,2272224.0,1951796.0,83291.0,0.0201150570346
74,object,dog,0.0201058150724,dog,3793935.0,1996510.0,114127.0,0.0201058150724
357,object,dog,0.0196257888549,dog,3793935.0,1975798.0,111056.0,0.0196257888549
130,object,sky,0.0193424965311,sky,36622673.0,1984763.0,732594.0,0.0193424965311
287,object,field,0.0192814879567,field,1883336.0,1947027.0,72458.0,0.0192814879567
163,object,dog,0.0192584524649,dog,3793935.0,1983756.0,109167.0,0.0192584524649
305,object,mountain,0.0191341583929,mountain,5469345.0,1952792.0,139350.0,0.0191341583929
290,object,mountain,0.0190809581676,mountain,5469345.0,1961668.0,139136.0,0.0190809581676
140,object,field,0.0189525001431,field,1883336.0,1978334.0,71827.0,0.0189525001431
435,object,airplane,0.0189321951654,airplane,1293178.0,1978383.0,60787.0,0.0189321951654
500,object,bed,0.0188892165336,bed,5819168.0,1965544.0,144321.0,0.0188892165336
411,object,mountain,0.0188644433509,mountain,5469345.0,1947008.0,137315.0,0.0188644433509
165,object,sea,0.0188347490848,sea,2272224.0,1957714.0,78197.0,0.0188347490848
421,object,bed,0.0187944720215,bed,5819168.0,2021894.0,144650.0,0.0187944720215
109,object,sea,0.018793807045,sea,2272224.0,1952881.0,77941.0,0.018793807045
302,object,sea,0.0187340792959,sea,2272224.0,1957783.0,77788.0,0.0187340792959
181,object,plant,0.0187122397983,plant,3236858.0,1983812.0,95896.0,0.0187122397983
454,object,bed,0.0187075415784,bed,5819168.0,1958333.0,142826.0,0.0187075415784
168,object,train,0.0186742281893,train,1646804.0,1966516.0,66239.0,0.0186742281893
122,object,tree,0.0186641001118,tree,21215421.0,1986789.0,425114.0,0.0186641001118
443,object,bed,0.0186003857571,bed,5819168.0,1971430.0,142262.0,0.0186003857571
247,object,airplane,0.0184812540543,airplane,1293178.0,1967835.0,59174.0,0.0184812540543
94,object,tree,0.0184740025226,tree,21215421.0,1978207.0,420707.0,0.0184740025226
460,object,mountain,0.0183494127109,mountain,5469345.0,1968229.0,134016.0,0.0183494127109
324,object,mountain,0.018332207764,mountain,5469345.0,1961474.0,133771.0,0.018332207764
348,object,mountain,0.0183166409464,mountain,5469345.0,1944270.0,133350.0,0.0183166409464
115,object,airplane,0.0182652647924,airplane,1293178.0,1970018.0,58534.0,0.0182652647924
169,object,dog,0.018256841306,dog,3793935.0,1999086.0,103866.0,0.018256841306
430,object,bed,0.018225679877,bed,5819168.0,1978781.0,139579.0,0.018225679877
327,object,mountain,0.018210669147,mountain,5469345.0,1984343.0,133309.0,0.018210669147
183,object,horse,0.0181150040363,horse,1230680.0,1962654.0,56818.0,0.0181150040363
286,object,bed,0.0180891795534,bed,5819168.0,1984060.0,138646.0,0.0180891795534
280,object,mountain,0.0180456570659,mountain,5469345.0,1961751.0,131722.0,0.0180456570659
263,object,field,0.0179923238883,field,1883336.0,1968693.0,68082.0,0.0179923238883
438,object,airplane,0.0179839304289,airplane,1293178.0,1987263.0,57953.0,0.0179839304289
62,object,airplane,0.0179442039163,airplane,1293178.0,1966260.0,57457.0,0.0179442039163
320,object,airplane,0.017908872565,airplane,1293178.0,1984172.0,57661.0,0.017908872565
288,object,sea,0.0178790223422,sea,2272224.0,1970423.0,74522.0,0.0178790223422
197,object,bed,0.0178368178082,bed,5819168.0,1955434.0,136244.0,0.0178368178082
9,object,plant,0.017693472512,plant,3236858.0,1956904.0,90298.0,0.017693472512
337,object,sea,0.0176824755226,sea,2272224.0,1964092.0,73607.0,0.0176824755226
167,object,sea,0.0176655262946,sea,2272224.0,1984216.0,73887.0,0.0176655262946
60,object,airplane,0.017651950632,airplane,1293178.0,1972922.0,56653.0,0.017651950632
424,object,sea,0.017625087663,sea,2272224.0,1974990.0,73561.0,0.017625087663
185,object,horse,0.0176182309811,horse,1230680.0,1979529.0,55579.0,0.0176182309811
325,object,person,0.0175817036098,person,14523849.0,1980734.0,285165.0,0.0175817036098
386,object,train,0.0175804274272,train,1646804.0,1957068.0,62263.0,0.0175804274272
456,object,building,0.0175434741711,building,35246027.0,1987529.0,641944.0,0.0175434741711
344,object,person,0.0175410167768,person,14523849.0,1965915.0,284261.0,0.0175410167768
412,object,bed,0.0175114837071,bed,5819168.0,1955681.0,133806.0,0.0175114837071
230,object,sea,0.0174458516596,sea,2272224.0,1966606.0,72682.0,0.0174458516596
219,object,airplane,0.0174257057823,airplane,1293178.0,1981428.0,56085.0,0.0174257057823
445,object,car,0.0173402889506,car,5354795.0,1969405.0,124839.0,0.0173402889506
277,object,dog,0.0172427501452,dog,3793935.0,1976227.0,97807.0,0.0172427501452
275,object,grass,0.0172378471634,grass,12961339.0,1969671.0,253017.0,0.0172378471634
312,object,horse,0.0171468594576,horse,1230680.0,1961314.0,53810.0,0.0171468594576
35,object,bed,0.0171328158367,bed,5819168.0,1994429.0,131614.0,0.0171328158367
336,object,horse,0.0171127527273,horse,1230680.0,1970897.0,53866.0,0.0171127527273
76,object,dog,0.017041264885,dog,3793935.0,1970005.0,96579.0,0.017041264885
211,object,airplane,0.0170190914764,airplane,1293178.0,1972751.0,54653.0,0.0170190914764
478,object,building,0.0170138359414,building,35246027.0,1976058.0,622696.0,0.0170138359414
482,object,dog,0.016975857768,dog,3793935.0,1976385.0,96321.0,0.016975857768
155,object,mountain,0.0169639997688,mountain,5469345.0,1954840.0,123843.0,0.0169639997688
30,object,building,0.0169633239201,building,35246027.0,1974012.0,620844.0,0.0169633239201
79,object,sea,0.0169568963549,sea,2272224.0,1959115.0,70554.0,0.0169568963549
220,object,road,0.0169319196656,road,12902631.0,1971180.0,247649.0,0.0169319196656
222,object,grass,0.0168503585011,grass,12961339.0,1951284.0,247119.0,0.0168503585011
40,object,bed,0.0167836040854,bed,5819168.0,1990634.0,128913.0,0.0167836040854
198,object,ceiling,0.0167371023396,ceiling,12114424.0,1959435.0,231678.0,0.0167371023396
178,object,dog,0.0167129774371,dog,3793935.0,1994639.0,95154.0,0.0167129774371
447,object,building,0.0167079119612,building,35246027.0,2014920.0,612322.0,0.0167079119612
78,object,sea,0.0166740340795,sea,2272224.0,1978055.0,69707.0,0.0166740340795
53,object,mountain,0.0166169203237,mountain,5469345.0,1981966.0,121794.0,0.0166169203237
170,object,bed,0.0166080741485,bed,5819168.0,1976690.0,127359.0,0.0166080741485
201,object,dog,0.0165558694595,dog,3793935.0,1981985.0,94068.0,0.0165558694595
16,object,bed,0.0165498543143,bed,5819168.0,1978053.0,126942.0,0.0165498543143
306,object,airplane,0.0165349494465,airplane,1293178.0,1995401.0,53492.0,0.0165349494465
391,object,sky,0.0165259181599,sky,36622673.0,1996092.0,627835.0,0.0165259181599
11,object,field,0.0164309499002,field,1883336.0,1971022.0,62307.0,0.0164309499002
63,object,field,0.0163258418477,field,1883336.0,1977258.0,62015.0,0.0163258418477
267,object,bed,0.0163181580007,bed,5819168.0,1966384.0,125006.0,0.0163181580007
214,object,building,0.0163096644261,building,35246027.0,1975725.0,597332.0,0.0163096644261
260,object,plant,0.0162825147718,plant,3236858.0,1944883.0,83020.0,0.0162825147718
205,object,mountain,0.016207160989,mountain,5469345.0,1964688.0,118563.0,0.016207160989
200,object,sea,0.016182023138,sea,2272224.0,1988990.0,67857.0,0.016182023138
425,object,dog,0.0161682244633,dog,3793935.0,1988804.0,92009.0,0.0161682244633
25,object,bed,0.016151746492,bed,5819168.0,2017629.0,124566.0,0.016151746492
293,object,dog,0.0161146243452,dog,3793935.0,1976583.0,91515.0,0.0161146243452
498,object,airplane,0.0160344911862,airplane,1293178.0,1970275.0,51502.0,0.0160344911862
343,object,tree,0.0160320967005,tree,21215421.0,1976297.0,365945.0,0.0160320967005
449,object,tree,0.0159563229869,tree,21215421.0,1966901.0,364095.0,0.0159563229869
96,object,person,0.015862328599,person,14523849.0,1982259.0,257737.0,0.015862328599
175,object,airplane,0.0158577521652,airplane,1293178.0,1970071.0,50940.0,0.0158577521652
349,object,bed,0.0158473833026,bed,5819168.0,1959854.0,121354.0,0.0158473833026
354,object,bed,0.0158382284754,bed,5819168.0,1986857.0,121706.0,0.0158382284754
463,object,snow,0.0157908206439,snow,995032.0,1958006.0,45906.0,0.0157908206439
505,object,mountain,0.0157244224546,mountain,5469345.0,1980694.0,115334.0,0.0157244224546
483,object,dog,0.0156373299063,dog,3793935.0,1965660.0,88678.0,0.0156373299063
402,object,building,0.0156127299113,building,35246027.0,1977835.0,572232.0,0.0156127299113
71,object,bed,0.0154933442653,bed,5819168.0,1973864.0,118898.0,0.0154933442653
502,object,train,0.0154035012057,train,1646804.0,1955477.0,54646.0,0.0154035012057
19,object,mountain,0.0153944221587,mountain,5469345.0,1977578.0,112903.0,0.0153944221587
441,object,sky,0.0153804226142,sky,36622673.0,1961251.0,584448.0,0.0153804226142
494,object,dog,0.0153102136281,dog,3793935.0,1958304.0,86740.0,0.0153102136281
481,object,mountain,0.0152776674932,mountain,5469345.0,1972155.0,111978.0,0.0152776674932
206,object,sea,0.0152571392023,sea,2272224.0,1981809.0,63929.0,0.0152571392023
57,object,bed,0.0152541585318,bed,5819168.0,2002880.0,117526.0,0.0152541585318
363,object,sky,0.0152212047651,sky,36622673.0,1961350.0,578490.0,0.0152212047651
81,object,airplane,0.0152161671931,airplane,1293178.0,1982753.0,49100.0,0.0152161671931
68,object,sidewalk,0.0151500032752,sidewalk,4000805.0,1981208.0,89275.0,0.0151500032752
467,object,building,0.0151399436069,building,35246027.0,1979575.0,555188.0,0.0151399436069
173,object,road,0.0151086523938,road,12902631.0,1980552.0,221518.0,0.0151086523938
237,object,mountain,0.0150692084565,mountain,5469345.0,1956475.0,110240.0,0.0150692084565
104,object,car,0.0150479896714,car,5354795.0,1963161.0,108488.0,0.0150479896714
228,object,train,0.015033660666,train,1646804.0,1979623.0,53711.0,0.015033660666
111,object,person,0.0150023134288,person,14523849.0,1975108.0,243864.0,0.0150023134288
420,object,bed,0.0149703129237,bed,5819168.0,2010788.0,115488.0,0.0149703129237
41,object,train,0.014964072954,train,1646804.0,1963070.0,53222.0,0.014964072954
331,object,dog,0.0149618964503,dog,3793935.0,1972163.0,85000.0,0.0149618964503
400,object,plant,0.0149146844871,plant,3236858.0,1991203.0,76829.0,0.0149146844871
314,object,mountain,0.0149145093018,mountain,5469345.0,1962537.0,109214.0,0.0149145093018
39,object,airplane,0.0148776351465,airplane,1293178.0,1961086.0,47706.0,0.0148776351465
102,object,dog,0.0148493816145,dog,3793935.0,1997850.0,84746.0,0.0148493816145
466,object,bed,0.0148477514992,bed,5819168.0,1966474.0,113908.0,0.0148477514992
297,object,train,0.0148197165111,train,1646804.0,1990867.0,53122.0,0.0148197165111
281,object,road,0.0148029980359,road,12902631.0,1995636.0,217322.0,0.0148029980359
15,object,horse,0.0147931321946,horse,1230680.0,1954986.0,46439.0,0.0147931321946
171,object,bed,0.0147912625592,bed,5819168.0,1967095.0,113490.0,0.0147912625592
224,object,person,0.0147897754621,person,14523849.0,1965260.0,240316.0,0.0147897754621
172,object,building,0.0147362464016,building,35246027.0,2003384.0,540945.0,0.0147362464016
316,object,train,0.0147356996745,train,1646804.0,1964065.0,52436.0,0.0147356996745
403,object,train,0.0147142988086,train,1646804.0,1984274.0,52654.0,0.0147142988086
398,object,windowpane,0.0147081528663,windowpane,6123214.0,1967116.0,117269.0,0.0147081528663
458,object,dog,0.0146669273838,dog,3793935.0,1955596.0,83109.0,0.0146669273838
37,object,airplane,0.0146566643128,airplane,1293178.0,1971354.0,47156.0,0.0146566643128
216,object,bed,0.0146437282271,bed,5819168.0,1966725.0,112369.0,0.0146437282271
298,object,sidewalk,0.0145678364257,sidewalk,4000805.0,1971200.0,85750.0,0.0145678364257
186,object,dog,0.0145419626116,dog,3793935.0,1980918.0,82774.0,0.0145419626116
496,object,bed,0.0145374312302,bed,5819168.0,1975587.0,111692.0,0.0145374312302
239,object,horse,0.014510244372,horse,1230680.0,1968714.0,45760.0,0.014510244372
120,object,sidewalk,0.0144876748257,sidewalk,4000805.0,1971418.0,85288.0,0.0144876748257
486,object,building,0.0144717306551,building,35246027.0,1981965.0,531068.0,0.0144717306551
270,object,bed,0.014445996483,bed,5819168.0,1990158.0,111207.0,0.014445996483
345,object,train,0.0144343249718,train,1646804.0,1968504.0,51442.0,0.0144343249718
276,object,earth,0.0143352089599,earth,4188226.0,1950553.0,86757.0,0.0143352089599
272,object,sea,0.0143350906098,sea,2272224.0,1950525.0,59678.0,0.0143350906098
249,object,dog,0.0143297597759,dog,3793935.0,1963350.0,81335.0,0.0143297597759
269,object,road,0.014320743148,road,12902631.0,2007181.0,210505.0,0.014320743148
154,object,bed,0.0142714992642,bed,5819168.0,1987770.0,109849.0,0.0142714992642
166,object,curtain,0.0142487541338,curtain,3107136.0,1965263.0,71260.0,0.0142487541338
246,object,sea,0.0142360593908,sea,2272224.0,1956188.0,59351.0,0.0142360593908
388,object,field,0.0142064445618,field,1883336.0,1956621.0,53788.0,0.0142064445618
475,object,train,0.0141723212442,train,1646804.0,1957319.0,50365.0,0.0141723212442
72,object,building,0.0141570406178,building,35246027.0,1995644.0,519872.0,0.0141570406178
69,object,person,0.0140681706095,person,14523849.0,1962488.0,228715.0,0.0140681706095
295,object,building,0.013985711443,building,35246027.0,1972497.0,513348.0,0.013985711443
151,object,airplane,0.0139707676617,airplane,1293178.0,1947939.0,44657.0,0.0139707676617
322,object,airplane,0.0139535506133,airplane,1293178.0,1964963.0,44837.0,0.0139535506133
67,object,bed,0.0139488264791,bed,5819168.0,1967233.0,107117.0,0.0139488264791
238,object,airplane,0.0139471029016,airplane,1293178.0,1966812.0,44842.0,0.0139471029016
253,object,dog,0.0139339080163,dog,3793935.0,1990853.0,79497.0,0.0139339080163
429,object,mountain,0.0139238552756,mountain,5469345.0,1967606.0,102129.0,0.0139238552756
92,object,grass,0.0139190186218,grass,12961339.0,1949202.0,204691.0,0.0139190186218
450,object,bed,0.0138978986779,bed,5819168.0,1972174.0,106799.0,0.0138978986779
387,object,train,0.0138422435131,train,1646804.0,1977827.0,49488.0,0.0138422435131
393,object,horse,0.0138226028755,horse,1230680.0,1955072.0,43435.0,0.0138226028755
261,object,horse,0.0138205069651,horse,1230680.0,1987972.0,43877.0,0.0138205069651
283,object,building,0.0137922591738,building,35246027.0,1978311.0,506423.0,0.0137922591738
10,object,plant,0.01373076518,plant,3236858.0,1970386.0,70531.0,0.01373076518
47,object,field,0.0136933838308,field,1883336.0,1981072.0,52202.0,0.0136933838308
465,object,sidewalk,0.0136675447756,sidewalk,4000805.0,1965778.0,80449.0,0.0136675447756
150,object,mountain,0.0136111274248,mountain,5469345.0,1952042.0,99657.0,0.0136111274248
12,object,person,0.0136019331993,person,14523849.0,1970625.0,221346.0,0.0136019331993
106,object,mountain,0.0135620342327,mountain,5469345.0,1945214.0,99211.0,0.0135620342327
223,object,airplane,0.0135499516836,airplane,1293178.0,1979291.0,43749.0,0.0135499516836
236,object,field,0.0135074385443,field,1883336.0,1976376.0,51440.0,0.0135074385443
323,object,road,0.013496788819,road,12902631.0,1956364.0,197878.0,0.013496788819
495,object,airplane,0.0134934897457,airplane,1293178.0,1965987.0,43392.0,0.0134934897457
113,object,table,0.0134698647171,table,4805122.0,1959688.0,89910.0,0.0134698647171
355,object,tree,0.0134663869879,tree,21215421.0,1979995.0,308208.0,0.0134663869879
512,object,car,0.0134346658672,car,5354795.0,1980663.0,97243.0,0.0134346658672
334,object,bed,0.0134207274276,bed,5819168.0,1963285.0,103063.0,0.0134207274276
459,object,sea,0.0134181458184,sea,2272224.0,1964706.0,56099.0,0.0134181458184
401,object,bed,0.013370953505,bed,5819168.0,1992175.0,103067.0,0.013370953505
